instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lit.ar.0001,﻿cathedral,﻿Cathedral of St. Andrew,English,,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,﻿34.7425025,﻿-92.2723403,,,,﻿p_reilly_001,﻿Very Rev.,﻿P. Reilly,,,,,,,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0001,﻿cathedral,﻿Cathedral of St. Andrew,English,,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,﻿#REF!,﻿#REF!,,,,﻿p_j_clarke_001,﻿Rev.,﻿Peter Clarke,,,,,,,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0001,﻿cathedral,﻿Cathedral of St. Andrew,English,,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,﻿#REF!,﻿#REF!,,,,﻿d_j_cogan_001,﻿Rev.,﻿D. Cogan,,,,,,,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0015,﻿church,not recorded,English,,,,,﻿Sebastian County,﻿Fort Smith,﻿Fort Smith,﻿AR,,﻿35.3843722,﻿-94.4209646,,,,,﻿Rev.,﻿Lawrence Smyth,,,,,,,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0023,﻿church,not recorded,English,,,,,﻿Phillips County,﻿Helena,﻿Helena,﻿AR,,﻿34.5291892,﻿-90.5911996,,,,,﻿Rev.,﻿Phillip Shanahan,,,,,,,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0027,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Pine Bluff,﻿Pine Bluff,﻿AR,,﻿34.224908,﻿-92.0033977,,,,,﻿Rev.,﻿Thomas Donovan,,,,,,,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0020,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿New Gascony,﻿New Gascony,﻿AR,,﻿34.2264866,﻿-91.7765199,,,,﻿pat_mcgowan_001,﻿Rev.,﻿P. McGowan,,,,,,,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0036,﻿academy,﻿St. Anne's Convent and Academy of the Sisters of Mercy,English,,﻿near Fort Smith,,,﻿Sebastian County,﻿Fort Smith,﻿Fort Smith,﻿AR,,﻿35.3843722,﻿-94.4209646,,,,,,,,,,,,﻿Sisters of Mercy,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0045,﻿academy,﻿St. Catherine's Convent and Academy of the Sisters of Mercy,English,,,,,﻿Phillips County,﻿Helena,﻿Helena,﻿AR,,﻿34.52186725,﻿-90.59168195,,,,,,,,,,,,﻿Sisters of Mercy,,1864,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0033,﻿academy,﻿St. Mary's Academy,English,,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,﻿34.7444618,﻿-92.2880157,,,,,,,,,,,,﻿under the Sisters of Mercy,,1864,﻿,﻿,﻿Little Rock,LittleRock
