instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,﻿S. 4th St.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.94564287,-75.14856313,,,,﻿hen_conwell_901,﻿Right Rev.,﻿Henry Conwell,﻿D.D.,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1834,﻿https://oldstmary.com/,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,﻿S. 4th St.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94564287,-75.14856313,,,,﻿fra_p_kenrick_901,﻿Right Rev.,﻿Francis P. Kenrick,﻿D.D.,﻿Coadj.,,,,﻿under the direction of the Fathers of the Society of Jesus,,1834,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,﻿S. 4th St.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94564287,-75.14856313,,,,﻿jer_keiley_901,﻿Rev.,﻿Jeremiah Keiley,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1834,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,﻿S. 4th St.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94564287,-75.14856313,,,,﻿tho_da-silva_901,﻿Rev.,﻿Thomas Da Silva,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1834,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,﻿Willing's Al.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.94655372,-75.1475707,,,,﻿ste_dubuisson_901,﻿Rev.,﻿Stephen Dubuisson,﻿S.J.,,,,,,,1834,﻿https://oldstjoseph.org/about-osj/history/,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,﻿Willing's Al.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94655372,-75.1475707,,,,﻿rider_901,﻿Rev. Mr.,﻿Rider,﻿S.J.,,,,,,,1834,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,﻿N. 4th Street,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.95552714,-75.1465845,,,,﻿mic_hurley_901,﻿Rev.,﻿Michael Hurley,,,,,,,,1834,﻿https://www.st-augustinechurch.com/our-parish,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,﻿N. 4th Street,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.95552714,-75.1465845,,,,﻿n_odonnell_901,﻿Rev.,﻿N. O'Donnell,,,,,,,,1834,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,English,,﻿Corner of 6th & Spruce Sts.,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,﻿PA,39.9455084,-75.15189463,,,,﻿cor_vanderbraak_901,﻿Rev.,﻿P. C. Vander Braak,,,,,,,,1834,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,English,,﻿Corner of 6th & Spruce Sts.,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,,39.9455084,-75.15189463,,,,﻿fra_guth_901,﻿Rev.,﻿Francis Guth,,,,,,,,1834,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John Evan.,English,﻿Evan.,﻿S. 13th Street,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.95126954,-75.16138096,,,,﻿joh_hughes_901,﻿Rev.,﻿John Hughes,,,,,,,,1834,﻿https://stjohnsphilly.org/homepage-ext/#history_row,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John Evan.,English,﻿Evan.,﻿S. 13th Street,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.95126954,-75.16138096,,,,﻿f_x_gartland_901,﻿Rev.,﻿F. X. Gartland,,,,,,,,1834,,﻿,﻿,﻿Philadelphia,Philadelphia
